Area,Sex,Province,Area_Type,Year,Source,Total_Pop,Total_5to25,Higher_Ed_Rate,No_Edu_Rate,SLC_Completion_Rate,Dropout_Proxy_Rate,Currently_Attending_Rate,Never_Attended,CurrAtt_Primary,CurrAtt_LowerSec,CurrAtt_UpperSec,NotAtt_Primary,NotAtt_LowerSec,NotAtt_UpperSec,Education_Level,Attainment_Population,Education_Level_Order
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,SLC_SEE,29483,5
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,Intermediate,47204,6
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,Graduate,14416,7
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,Post_Graduate,5219,8
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,No_Level,7123,9
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,Early_Childhood,10539,1
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,Primary,75103,2
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,Lower_Secondary,54941,3
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,Upper_Secondary,39831,4
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,SLC_SEE,33680,5
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,Intermediate,45382,6
